68719476867,IDENTIFIER,1,,neo4j_conn,1,main.py:<module>.Neo4jConnection.connect;Neo4jConnection.<returnValue>.connect,64,neo4j_conn,1,,ANY
68719476868,IDENTIFIER,1,,index,1,,69,index,1,,main.py:<module>.index
68719476869,IDENTIFIER,-1,,render_template,12,,70,render_template,0,,flask.py:<module>.render_template
68719476870,IDENTIFIER,1,,app,2,,68,app,1,,flask.py:<module>.Flask
68719476871,IDENTIFIER,0,,app,2,,68,app,1,,flask.py:<module>.Flask
68719476872,IDENTIFIER,1,,recommend,1,,73,recommend,1,,main.py:<module>.recommend
68719476873,IDENTIFIER,1,,request,20,,74,request,1,,flask.py:<module>.request
68719476874,IDENTIFIER,1,,college_name,5,,74,college_name,1,,ANY
68719476875,IDENTIFIER,1,,neo4j_conn,43,main.py:<module>.Neo4jConnection.connect;Neo4jConnection.<returnValue>.connect,77,neo4j_conn,1,,ANY
68719476876,IDENTIFIER,2,,college_name,55,,77,college_name,2,,ANY
68719476877,IDENTIFIER,-1,,get_recommendations,23,,77,get_recommendations,0,,ANY
68719476878,IDENTIFIER,1,,recommendations,5,,77,recommendations,1,,pandas.py:<module>.DataFrame.<returnValue>
68719476879,IDENTIFIER,1,,neo4j_conn,5,main.py:<module>.Neo4jConnection.connect;Neo4jConnection.<returnValue>.connect,80,neo4j_conn,1,,ANY
68719476880,IDENTIFIER,0,,neo4j_conn,5,main.py:<module>.Neo4jConnection.connect;Neo4jConnection.<returnValue>.connect,80,neo4j_conn,1,,ANY
68719476881,IDENTIFIER,1,,recommendations,28,,81,recommendations,1,,pandas.py:<module>.DataFrame.<returnValue>
68719476882,IDENTIFIER,0,,recommendations,28,,81,recommendations,1,,pandas.py:<module>.DataFrame.<returnValue>
68719476883,IDENTIFIER,1,,recommendations_data,5,,81,recommendations_data,1,,pandas.py:<module>.DataFrame.<returnValue>.to_dict.<returnValue>
68719476884,IDENTIFIER,-1,college_name,college_name,55,,83,college_name,2,,ANY
68719476885,IDENTIFIER,-1,recommendations,recommendations_data,85,,83,recommendations_data,3,,pandas.py:<module>.DataFrame.<returnValue>.to_dict.<returnValue>
68719476886,IDENTIFIER,-1,,render_template,12,,83,render_template,0,,flask.py:<module>.render_template
68719476887,IDENTIFIER,1,,app,2,,72,app,1,,flask.py:<module>.Flask
68719476888,IDENTIFIER,0,,app,2,,72,app,1,,flask.py:<module>.Flask
68719476889,IDENTIFIER,1,,similarity_query,1,,86,similarity_query,1,,__builtin.str
68719476890,IDENTIFIER,1,,similarity_query,18,,97,similarity_query,2,,__builtin.str
68719476891,IDENTIFIER,1,,neo4j_conn,1,main.py:<module>.Neo4jConnection.connect;Neo4jConnection.<returnValue>.connect,97,neo4j_conn,1,,ANY
68719476892,IDENTIFIER,0,,neo4j_conn,1,main.py:<module>.Neo4jConnection.connect;Neo4jConnection.<returnValue>.connect,97,neo4j_conn,1,,ANY
68719476893,IDENTIFIER,1,,graph_creation_query,1,,101,graph_creation_query,1,,__builtin.str
68719476894,IDENTIFIER,1,,graph_creation_query,18,,114,graph_creation_query,2,,__builtin.str
68719476895,IDENTIFIER,1,,neo4j_conn,1,main.py:<module>.Neo4jConnection.connect;Neo4jConnection.<returnValue>.connect,114,neo4j_conn,1,,ANY
68719476896,IDENTIFIER,0,,neo4j_conn,1,main.py:<module>.Neo4jConnection.connect;Neo4jConnection.<returnValue>.connect,114,neo4j_conn,1,,ANY
68719476897,IDENTIFIER,1,,scale_features_query,1,,117,scale_features_query,1,,__builtin.str
68719476898,IDENTIFIER,1,,scale_features_query,18,,129,scale_features_query,2,,__builtin.str
